id,employee_id,name_zh,department,departments,name_en_list
136,gen_1f1a15e7,Yujing Huang,"Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China",,"""[]"""
137,gen_2ee5626c,Yun Hu,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
138,gen_0d45e6c3,Yun Ou,"Department of Pathology, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
139,gen_e507f4e0,Yunxiang He,"BMI Center for Biomass Materials and Nanointerfaces, College of Biomass Science and Engineering, West China Second University Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
140,gen_7e54078c,Yuxi Wang,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
141,gen_fb221d52,Yuxiang Wang,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
142,gen_6fe644f3,Yuxuan Wu,"Department of Medical Informatics, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
143,gen_ac19f0fd,Zhang-zhong Yang,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
144,gen_718441cf,Zhaoyue Zheng,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
145,gen_08d54764,Zheng Xiang,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
146,gen_c2a228cf,Zhengzheng Su,"Department of Pathology, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
147,gen_ee1b1bfa,Zhigang Lan,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
148,gen_ca4b9ed2,Zhi‐Jun Jia,"BMI Center for Biomass Materials and Nanointerfaces, College of Biomass Science and Engineering, West China Second University Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
149,gen_2bc25ff2,Zhoufeng Wang,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
150,gen_0a5f656c,Zhuoli Zhu,"State Key Laboratory of Oral Diseases, National Clinical Research Center for Oral Diseases, West China Hospital of Stomatology, Sichuan University, Sichuan, Chengdu, China",,"""[]"""
151,gen_7c8ed40f,Ziheng Guo,"Department of Pancreatic Surgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
152,gen_605dc22b,Zongyao Huang,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
